experiment,ticker,horizon,model,observations,mean_price_mae,median_price_mae,mean_return_abs_error,directional_accuracy
Experiment 1 — Univariate Close,NVDA,5,ARIMA,50,2.1161606475398886,0.18484754152862792,0.05139965466147795,0.54
Experiment 1 — Univariate Close,NVDA,5,Chronos-2,50,2.238824067711829,0.22246348857879594,0.05187256468495328,0.46
Experiment 1 — Univariate Close,NVDA,5,ETS,50,2.084711406782983,0.2008436178534725,0.049932611256356785,0.62
Experiment 1 — Univariate Close,NVDA,5,GARCH,50,2.0264524101427397,0.18798710454403578,0.049397171709331236,0.7
Experiment 1 — Univariate Close,NVDA,5,GJR-GARCH,50,2.0371847362487943,0.18799393290367306,0.049619973189634875,0.7
Experiment 1 — Univariate Close,NVDA,5,LightGBM,50,2.1275656333715594,0.20542634822929617,0.05644079339514893,0.5
Experiment 1 — Univariate Close,NVDA,5,Naive,50,2.1155920594930633,0.18220853805541992,0.05135673727822297,0.0
Experiment 1 — Univariate Close,NVDA,5,XGBoost,50,2.056016138070359,0.3969903520262694,0.060018548550880874,0.48
Experiment 1 — Univariate Close,NVDA,10,ARIMA,50,2.6085872795704437,0.321478356576264,0.06944427131068404,0.5
Experiment 1 — Univariate Close,NVDA,10,Chronos-2,50,2.494609379172324,0.14897894859313965,0.0659789269812548,0.58
Experiment 1 — Univariate Close,NVDA,10,ETS,50,2.5276317717427705,0.1898049231004384,0.06676666818810566,0.62
Experiment 1 — Univariate Close,NVDA,10,GARCH,50,2.492922844009872,0.23100963979097333,0.06552434739800164,0.7
Experiment 1 — Univariate Close,NVDA,10,GJR-GARCH,50,2.5051817228207347,0.22382607835618606,0.06602947523654329,0.7
Experiment 1 — Univariate Close,NVDA,10,LightGBM,50,2.817964467963902,0.26237473433336866,0.08145111939933368,0.56
Experiment 1 — Univariate Close,NVDA,10,Naive,50,2.6066425001621245,0.3213188648223877,0.06941045348519824,0.0
Experiment 1 — Univariate Close,NVDA,10,XGBoost,50,2.5523248938224543,0.2960898839441102,0.07682143272516682,0.54
Experiment 1 — Univariate Close,NVDA,20,ARIMA,50,4.0339508563567374,0.19500641369393312,0.0939773671880086,0.56
Experiment 1 — Univariate Close,NVDA,20,Chronos-2,50,3.977415638566017,0.2548341751098637,0.09143871852129337,0.62
Experiment 1 — Univariate Close,NVDA,20,ETS,50,3.955623410708467,0.2729607778911576,0.09112818665659264,0.62
Experiment 1 — Univariate Close,NVDA,20,GARCH,50,3.624380505800566,0.283984386490292,0.08770123711061671,0.68
