ticker,experiment,cutoff_date,horizon,model,actual,predicted,price_mae,return_abs_error,direction_hit
NVDA,Experiment 1 — Univariate Close,2020-04-21,20,gjr_garch,8.760899543762207,6.837426718517969,1.9234728252442377,0.28693036799452876,1.0
NVDA,Experiment 1 — Univariate Close,2020-04-21,20,xgboost,8.760899543762207,7.047626003086185,1.7132735406760222,0.2555742930441658,1.0
NVDA,Experiment 1 — Univariate Close,2020-04-21,20,lightgbm,8.760899543762207,7.062886561501554,1.6980129822606527,0.25329782852412874,1.0
NVDA,Experiment 1 — Univariate Close,2020-08-12,1,naive,11.390235900878906,11.38749885559082,0.0027370452880859375,0.0002403552635039663,0.0
NVDA,Experiment 1 — Univariate Close,2020-08-12,1,arima,11.390235900878906,11.342966760104549,0.04726914077435751,0.004150967773854153,0.0
NVDA,Experiment 1 — Univariate Close,2020-08-12,1,ets,11.390235900878906,11.340846364914274,0.04938953596463236,0.004337171541438645,0.0
NVDA,Experiment 1 — Univariate Close,2020-08-12,1,garch,11.390235900878906,11.401573324882472,0.011337424003565744,0.000995602647020144,1.0
NVDA,Experiment 1 — Univariate Close,2020-08-12,1,egarch,11.390235900878906,11.399347850071955,0.009111949193048474,0.0008001712499470237,1.0
NVDA,Experiment 1 — Univariate Close,2020-08-12,1,gjr_garch,11.390235900878906,11.399856644217657,0.009620743338750515,0.0008448513111398714,1.0
NVDA,Experiment 1 — Univariate Close,2020-08-12,1,xgboost,11.390235900878906,11.351904235285765,0.03833166559314094,0.003366118063258705,0.0
NVDA,Experiment 1 — Univariate Close,2020-08-12,1,lightgbm,11.390235900878906,11.054909007893453,0.33532689298545293,0.029446930993175968,0.0
NVDA,Experiment 1 — Univariate Close,2020-08-12,5,naive,12.08253002166748,11.38749885559082,0.6950311660766602,0.06103457615149854,0.0
NVDA,Experiment 1 — Univariate Close,2020-08-12,5,arima,12.08253002166748,11.356874983674198,0.7256550379932829,0.06372382971849999,0.0
NVDA,Experiment 1 — Univariate Close,2020-08-12,5,ets,12.08253002166748,11.450680958570077,0.6318490630974036,0.05548620211603272,1.0
NVDA,Experiment 1 — Univariate Close,2020-08-12,5,garch,12.08253002166748,11.458045371699006,0.6244846499684744,0.05483949178724856,1.0
NVDA,Experiment 1 — Univariate Close,2020-08-12,5,gjr_garch,12.08253002166748,11.449422051873018,0.6331079697944624,0.05559675375805906,1.0
NVDA,Experiment 1 — Univariate Close,2020-08-12,5,xgboost,12.08253002166748,11.558868978971454,0.5236610426960269,0.04598560661447881,1.0
NVDA,Experiment 1 — Univariate Close,2020-08-12,5,lightgbm,12.08253002166748,11.80255837516644,0.2799716465010409,0.02458587702633097,1.0
NVDA,Experiment 1 — Univariate Close,2020-08-12,10,naive,12.714101791381836,11.38749885559082,1.3266029357910156,0.11649642758380652,0.0
NVDA,Experiment 1 — Univariate Close,2020-08-12,10,arima,12.714101791381836,11.357839981443192,1.356261809938644,0.11910093929649634,0.0
NVDA,Experiment 1 — Univariate Close,2020-08-12,10,ets,12.714101791381836,11.584913284620345,1.1291885067614906,0.09916036182142873,1.0
NVDA,Experiment 1 — Univariate Close,2020-08-12,10,garch,12.714101791381836,11.529028929426088,1.1850728619557476,0.10406787978502607,1.0
NVDA,Experiment 1 — Univariate Close,2020-08-12,10,gjr_garch,12.714101791381836,11.511681975498634,1.2024198158832018,0.10559121288454487,1.0
NVDA,Experiment 1 — Univariate Close,2020-08-12,10,xgboost,12.714101791381836,11.491654087915865,1.2224477034659706,0.10734997377108813,1.0
NVDA,Experiment 1 — Univariate Close,2020-08-12,10,lightgbm,12.714101791381836,11.260887433380057,1.4532143580017785,0.12761488509729302,0.0
NVDA,Experiment 1 — Univariate Close,2020-08-12,20,naive,12.25864601135254,11.38749885559082,0.8711471557617205,0.07650030676701425,0.0
NVDA,Experiment 1 — Univariate Close,2020-08-12,20,arima,12.25864601135254,11.357810492924562,0.9008355184279786,0.07910740803154537,0.0
